# q                 I(q)             
  5.92381e-02       5.86945e-02      
  5.95722e-02       5.79944e-02      
  5.99064e-02       5.72968e-02      
  6.02405e-02       5.66021e-02      
  6.05746e-02       5.59108e-02      
  6.09087e-02       5.52231e-02      
  6.12428e-02       5.45395e-02      
  6.15769e-02       5.38602e-02      
  6.19110e-02       5.31858e-02      
  6.22452e-02       5.25167e-02      
  6.25793e-02       5.18531e-02      
  6.29134e-02       5.11955e-02      
  6.32475e-02       5.05443e-02      
  6.35816e-02       4.98999e-02      
  6.39157e-02       4.92626e-02      
  6.42498e-02       4.86327e-02      
  6.45839e-02       4.80107e-02      
  6.49181e-02       4.73969e-02      
  6.52522e-02       4.67916e-02      
  6.55863e-02       4.61950e-02      
  6.59204e-02       4.56075e-02      
  6.62545e-02       4.50293e-02      
  6.65886e-02       4.44608e-02      
  6.69227e-02       4.39020e-02      
  6.72569e-02       4.33532e-02      
  6.75910e-02       4.28146e-02      
  6.79251e-02       4.22863e-02      
  6.82592e-02       4.17686e-02      
  6.85933e-02       4.12614e-02      
  6.89274e-02       4.07649e-02      
  6.92615e-02       4.02791e-02      
  6.95957e-02       3.98042e-02      
  6.99298e-02       3.93401e-02      
  7.02639e-02       3.88867e-02      
  7.05980e-02       3.84442e-02      
  7.09321e-02       3.80124e-02      
  7.12662e-02       3.75914e-02      
  7.16003e-02       3.71809e-02      
  7.19344e-02       3.67809e-02      
  7.22686e-02       3.63912e-02      
  7.26027e-02       3.60118e-02      
  7.29368e-02       3.56425e-02      
  7.32709e-02       3.52830e-02      
  7.36050e-02       3.49332e-02      
  7.39391e-02       3.45928e-02      
  7.42732e-02       3.42618e-02      
  7.46074e-02       3.39397e-02      
  7.49415e-02       3.36264e-02      
  7.52756e-02       3.33216e-02      
  7.56097e-02       3.30250e-02      
  7.59438e-02       3.27364e-02      
  7.62779e-02       3.24554e-02      
  7.66120e-02       3.21819e-02      
  7.69462e-02       3.19154e-02      
  7.72803e-02       3.16556e-02      
  7.76144e-02       3.14024e-02      
  7.79485e-02       3.11553e-02      
  7.82826e-02       3.09141e-02      
  7.86167e-02       3.06784e-02      
