# q                 I(q)             
  1.00000e-04       9.99997e-01      
  4.34114e-04       9.99943e-01      
  7.68227e-04       9.99822e-01      
  1.10234e-03       9.99633e-01      
  1.43645e-03       9.99376e-01      
  1.77057e-03       9.99053e-01      
  2.10468e-03       9.98662e-01      
  2.43880e-03       9.98204e-01      
  2.77291e-03       9.97679e-01      
  3.10702e-03       9.97087e-01      
  3.44114e-03       9.96428e-01      
  3.77525e-03       9.95703e-01      
  4.10936e-03       9.94911e-01      
  4.44348e-03       9.94053e-01      
  4.77759e-03       9.93130e-01      
  5.11171e-03       9.92140e-01      
  5.44582e-03       9.91086e-01      
  5.77993e-03       9.89966e-01      
  6.11405e-03       9.88781e-01      
  6.44816e-03       9.87532e-01      
  6.78227e-03       9.86219e-01      
  7.11639e-03       9.84842e-01      
  7.45050e-03       9.83402e-01      
  7.78462e-03       9.81898e-01      
  8.11873e-03       9.80332e-01      
  8.45284e-03       9.78704e-01      
  8.78696e-03       9.77014e-01      
  9.12107e-03       9.75262e-01      
  9.45518e-03       9.73450e-01      
  9.78930e-03       9.71577e-01      
  1.01234e-02       9.69644e-01      
  1.04575e-02       9.67652e-01      
  1.07916e-02       9.65601e-01      
  1.11258e-02       9.63492e-01      
  1.14599e-02       9.61325e-01      
  1.17940e-02       9.59101e-01      
  1.21281e-02       9.56820e-01      
  1.24622e-02       9.54483e-01      
  1.27963e-02       9.52091e-01      
  1.31304e-02       9.49644e-01      
  1.34645e-02       9.47143e-01      
  1.37987e-02       9.44588e-01      
  1.41328e-02       9.41980e-01      
  1.44669e-02       9.39321e-01      
  1.48010e-02       9.36610e-01      
  1.51351e-02       9.33848e-01      
  1.54692e-02       9.31036e-01      
  1.58033e-02       9.28174e-01      
  1.61375e-02       9.25264e-01      
  1.64716e-02       9.22306e-01      
  1.68057e-02       9.19301e-01      
  1.71398e-02       9.16249e-01      
  1.74739e-02       9.13152e-01      
  1.78080e-02       9.10010e-01      
  1.81421e-02       9.06824e-01      
  1.84763e-02       9.03595e-01      
  1.88104e-02       9.00323e-01      
  1.91445e-02       8.97010e-01      
  1.94786e-02       8.93655e-01      
  1.98127e-02       8.90261e-01      
  2.01468e-02       8.86827e-01      
  2.04809e-02       8.83356e-01      
  2.08151e-02       8.79846e-01      
  2.11492e-02       8.76300e-01      
  2.14833e-02       8.72718e-01      
  2.18174e-02       8.69102e-01      
  2.21515e-02       8.65451e-01      
  2.24856e-02       8.61767e-01      
  2.28197e-02       8.58051e-01      
  2.31538e-02       8.54303e-01      
  2.34880e-02       8.50524e-01      
  2.38221e-02       8.46716e-01      
  2.41562e-02       8.42880e-01      
  2.44903e-02       8.39015e-01      
  2.48244e-02       8.35123e-01      
  2.51585e-02       8.31205e-01      
  2.54926e-02       8.27262e-01      
  2.58268e-02       8.23294e-01      
  2.61609e-02       8.19303e-01      
  2.64950e-02       8.15290e-01      
  2.68291e-02       8.11255e-01      
  2.71632e-02       8.07199e-01      
  2.74973e-02       8.03123e-01      
  2.78314e-02       7.99028e-01      
  2.81656e-02       7.94915e-01      
  2.84997e-02       7.90785e-01      
  2.88338e-02       7.86639e-01      
  2.91679e-02       7.82477e-01      
  2.95020e-02       7.78301e-01      
  2.98361e-02       7.74111e-01      
  3.01702e-02       7.69908e-01      
  3.05043e-02       7.65693e-01      
  3.08385e-02       7.61467e-01      
  3.11726e-02       7.57231e-01      
  3.15067e-02       7.52986e-01      
  3.18408e-02       7.48733e-01      
  3.21749e-02       7.44471e-01      
  3.25090e-02       7.40203e-01      
  3.28431e-02       7.35929e-01      
  3.31773e-02       7.31650e-01      
  3.35114e-02       7.27367e-01      
  3.38455e-02       7.23080e-01      
  3.41796e-02       7.18791e-01      
  3.45137e-02       7.14500e-01      
  3.48478e-02       7.10208e-01      
  3.51819e-02       7.05915e-01      
  3.55161e-02       7.01624e-01      
  3.58502e-02       6.97333e-01      
  3.61843e-02       6.93045e-01      
  3.65184e-02       6.88760e-01      
  3.68525e-02       6.84478e-01      
  3.71866e-02       6.80200e-01      
  3.75207e-02       6.75928e-01      
  3.78548e-02       6.71662e-01      
  3.81890e-02       6.67402e-01      
  3.85231e-02       6.63149e-01      
  3.88572e-02       6.58904e-01      
  3.91913e-02       6.54668e-01      
  3.95254e-02       6.50441e-01      
  3.98595e-02       6.46225e-01      
  4.01936e-02       6.42018e-01      
  4.05278e-02       6.37824e-01      
  4.08619e-02       6.33641e-01      
  4.11960e-02       6.29470e-01      
  4.15301e-02       6.25313e-01      
  4.18642e-02       6.21169e-01      
  4.21983e-02       6.17040e-01      
  4.25324e-02       6.12926e-01      
  4.28666e-02       6.08827e-01      
  4.32007e-02       6.04744e-01      
  4.35348e-02       6.00678e-01      
  4.38689e-02       5.96629e-01      
  4.42030e-02       5.92597e-01      
  4.45371e-02       5.88584e-01      
  4.48712e-02       5.84589e-01      
  4.52054e-02       5.80613e-01      
  4.55395e-02       5.76657e-01      
  4.58736e-02       5.72721e-01      
  4.62077e-02       5.68806e-01      
  4.65418e-02       5.64911e-01      
  4.68759e-02       5.61037e-01      
  4.72100e-02       5.57186e-01      
  4.75441e-02       5.53356e-01      
  4.78783e-02       5.49549e-01      
  4.82124e-02       5.45764e-01      
  4.85465e-02       5.42003e-01      
  4.88806e-02       5.38266e-01      
  4.92147e-02       5.34552e-01      
  4.95488e-02       5.30862e-01      
  4.98829e-02       5.27197e-01      
  5.02171e-02       5.23557e-01      
  5.05512e-02       5.19942e-01      
  5.08853e-02       5.16352e-01      
  5.12194e-02       5.12788e-01      
  5.15535e-02       5.09249e-01      
  5.18876e-02       5.05737e-01      
  5.22217e-02       5.02251e-01      
  5.25559e-02       4.98791e-01      
  5.28900e-02       4.95358e-01      
  5.32241e-02       4.91952e-01      
  5.35582e-02       4.88573e-01      
  5.38923e-02       4.85221e-01      
  5.42264e-02       4.81897e-01      
  5.45605e-02       4.78599e-01      
  5.48946e-02       4.75330e-01      
  5.52288e-02       4.72088e-01      
  5.55629e-02       4.68874e-01      
  5.58970e-02       4.65687e-01      
  5.62311e-02       4.62529e-01      
  5.65652e-02       4.59398e-01      
  5.68993e-02       4.56296e-01      
  5.72334e-02       4.53221e-01      
  5.75676e-02       4.50175e-01      
  5.79017e-02       4.47157e-01      
  5.82358e-02       4.44167e-01      
  5.85699e-02       4.41205e-01      
  5.89040e-02       4.38272e-01      
  5.92381e-02       4.35366e-01      
  5.95722e-02       4.32488e-01      
  5.99064e-02       4.29639e-01      
  6.02405e-02       4.26817e-01      
  6.05746e-02       4.24024e-01      
  6.09087e-02       4.21258e-01      
  6.12428e-02       4.18520e-01      
  6.15769e-02       4.15809e-01      
  6.19110e-02       4.13127e-01      
  6.22452e-02       4.10471e-01      
  6.25793e-02       4.07843e-01      
  6.29134e-02       4.05243e-01      
  6.32475e-02       4.02669e-01      
  6.35816e-02       4.00122e-01      
  6.39157e-02       3.97603e-01      
  6.42498e-02       3.95110e-01      
  6.45839e-02       3.92643e-01      
  6.49181e-02       3.90203e-01      
  6.52522e-02       3.87789e-01      
  6.55863e-02       3.85400e-01      
  6.59204e-02       3.83038e-01      
  6.62545e-02       3.80701e-01      
  6.65886e-02       3.78390e-01      
  6.69227e-02       3.76104e-01      
  6.72569e-02       3.73843e-01      
  6.75910e-02       3.71607e-01      
  6.79251e-02       3.69395e-01      
  6.82592e-02       3.67208e-01      
  6.85933e-02       3.65044e-01      
  6.89274e-02       3.62905e-01      
  6.92615e-02       3.60789e-01      
  6.95957e-02       3.58697e-01      
  6.99298e-02       3.56628e-01      
  7.02639e-02       3.54581e-01      
  7.05980e-02       3.52557e-01      
  7.09321e-02       3.50556e-01      
  7.12662e-02       3.48577e-01      
  7.16003e-02       3.46619e-01      
  7.19344e-02       3.44683e-01      
  7.22686e-02       3.42769e-01      
  7.26027e-02       3.40875e-01      
  7.29368e-02       3.39002e-01      
  7.32709e-02       3.37150e-01      
  7.36050e-02       3.35318e-01      
  7.39391e-02       3.33505e-01      
  7.42732e-02       3.31713e-01      
  7.46074e-02       3.29939e-01      
  7.49415e-02       3.28185e-01      
  7.52756e-02       3.26449e-01      
  7.56097e-02       3.24732e-01      
  7.59438e-02       3.23033e-01      
  7.62779e-02       3.21352e-01      
  7.66120e-02       3.19689e-01      
  7.69462e-02       3.18043e-01      
  7.72803e-02       3.16414e-01      
  7.76144e-02       3.14801e-01      
  7.79485e-02       3.13205e-01      
  7.82826e-02       3.11626e-01      
  7.86167e-02       3.10062e-01      
  7.89508e-02       3.08514e-01      
  7.92849e-02       3.06981e-01      
  7.96191e-02       3.05463e-01      
  7.99532e-02       3.03959e-01      
  8.02873e-02       3.02470e-01      
  8.06214e-02       3.00996e-01      
  8.09555e-02       2.99535e-01      
  8.12896e-02       2.98088e-01      
  8.16237e-02       2.96654e-01      
  8.19579e-02       2.95233e-01      
  8.22920e-02       2.93825e-01      
  8.26261e-02       2.92430e-01      
  8.29602e-02       2.91047e-01      
  8.32943e-02       2.89675e-01      
  8.36284e-02       2.88316e-01      
  8.39625e-02       2.86968e-01      
  8.42967e-02       2.85631e-01      
  8.46308e-02       2.84305e-01      
  8.49649e-02       2.82990e-01      
  8.52990e-02       2.81685e-01      
  8.56331e-02       2.80391e-01      
  8.59672e-02       2.79106e-01      
  8.63013e-02       2.77832e-01      
  8.66355e-02       2.76566e-01      
  8.69696e-02       2.75310e-01      
  8.73037e-02       2.74063e-01      
  8.76378e-02       2.72825e-01      
  8.79719e-02       2.71596e-01      
  8.83060e-02       2.70375e-01      
  8.86401e-02       2.69162e-01      
  8.89742e-02       2.67957e-01      
  8.93084e-02       2.66759e-01      
  8.96425e-02       2.65570e-01      
  8.99766e-02       2.64387e-01      
  9.03107e-02       2.63212e-01      
  9.06448e-02       2.62044e-01      
  9.09789e-02       2.60883e-01      
  9.13130e-02       2.59728e-01      
  9.16472e-02       2.58580e-01      
  9.19813e-02       2.57438e-01      
  9.23154e-02       2.56302e-01      
  9.26495e-02       2.55172e-01      
  9.29836e-02       2.54048e-01      
  9.33177e-02       2.52930e-01      
  9.36518e-02       2.51817e-01      
  9.39860e-02       2.50709e-01      
  9.43201e-02       2.49607e-01      
  9.46542e-02       2.48509e-01      
  9.49883e-02       2.47417e-01      
  9.53224e-02       2.46329e-01      
  9.56565e-02       2.45246e-01      
  9.59906e-02       2.44168e-01      
  9.63247e-02       2.43094e-01      
  9.66589e-02       2.42024e-01      
  9.69930e-02       2.40959e-01      
  9.73271e-02       2.39897e-01      
  9.76612e-02       2.38840e-01      
  9.79953e-02       2.37786e-01      
  9.83294e-02       2.36737e-01      
  9.86635e-02       2.35691e-01      
  9.89977e-02       2.34648e-01      
  9.93318e-02       2.33610e-01      
  9.96659e-02       2.32574e-01      
  1.00000e-01       2.31543e-01      
