# q                 I(q)             
  5.82358e-02       2.02200e-04      
  5.85699e-02       2.29251e-04      
  5.89040e-02       2.55838e-04      
  5.92381e-02       2.81421e-04      
  5.95722e-02       3.05511e-04      
  5.99064e-02       3.27666e-04      
  6.02405e-02       3.47504e-04      
  6.05746e-02       3.64701e-04      
  6.09087e-02       3.78996e-04      
  6.12428e-02       3.90191e-04      
  6.15769e-02       3.98154e-04      
  6.19110e-02       4.02812e-04      
  6.22452e-02       4.04156e-04      
  6.25793e-02       4.02233e-04      
  6.29134e-02       3.97147e-04      
  6.32475e-02       3.89049e-04      
  6.35816e-02       3.78137e-04      
  6.39157e-02       3.64650e-04      
  6.42498e-02       3.48859e-04      
  6.45839e-02       3.31062e-04      
  6.49181e-02       3.11581e-04      
  6.52522e-02       2.90751e-04      
  6.55863e-02       2.68918e-04      
  6.59204e-02       2.46427e-04      
  6.62545e-02       2.23623e-04      
  6.65886e-02       2.00839e-04      
  6.69227e-02       1.78396e-04      
  6.72569e-02       1.56593e-04      
  6.75910e-02       1.35710e-04      
  6.79251e-02       1.15995e-04      
  6.82592e-02       9.76692e-05      
  6.85933e-02       8.09198e-05      
  6.89274e-02       6.59001e-05      
  6.92615e-02       5.27279e-05      
  6.95957e-02       4.14853e-05      
  6.99298e-02       3.22184e-05      
  7.02639e-02       2.49384e-05      
  7.05980e-02       1.96230e-05      
  7.09321e-02       1.62177e-05      
  7.12662e-02       1.46387e-05      
  7.16003e-02       1.47753e-05      
  7.19344e-02       1.64930e-05      
  7.22686e-02       1.96365e-05      
  7.26027e-02       2.40339e-05      
  7.29368e-02       2.94997e-05      
  7.32709e-02       3.58389e-05      
  7.36050e-02       4.28506e-05      
  7.39391e-02       5.03321e-05      
  7.42732e-02       5.80818e-05      
  7.46074e-02       6.59033e-05      
  7.49415e-02       7.36080e-05      
  7.52756e-02       8.10188e-05      
  7.56097e-02       8.79718e-05      
  7.59438e-02       9.43194e-05      
  7.62779e-02       9.99319e-05      
  7.66120e-02       1.04699e-04      
  7.69462e-02       1.08531e-04      
  7.72803e-02       1.11359e-04      
  7.76144e-02       1.13137e-04      
  7.79485e-02       1.13840e-04      
  7.82826e-02       1.13464e-04      
  7.86167e-02       1.12027e-04      
  7.89508e-02       1.09563e-04      
  7.92849e-02       1.06129e-04      
  7.96191e-02       1.01794e-04      
  7.99532e-02       9.66437e-05      
  8.02873e-02       9.07760e-05      
  8.06214e-02       8.42989e-05      
  8.09555e-02       7.73284e-05      
  8.12896e-02       6.99861e-05      
  8.16237e-02       6.23971e-05      
  8.19579e-02       5.46871e-05      
  8.22920e-02       4.69807e-05      
  8.26261e-02       3.93990e-05      
  8.29602e-02       3.20573e-05      
  8.32943e-02       2.50637e-05      
  8.36284e-02       1.85171e-05      
  8.39625e-02       1.25059e-05      
  8.42967e-02       7.10682e-06      
  8.46308e-02       2.38364e-06      
  8.49649e-02       -1.61324e-06     
  8.52990e-02       -4.84734e-06     
  8.56331e-02       -7.29635e-06     
  8.59672e-02       -8.95202e-06     
  8.63013e-02       -9.81993e-06     
  8.66355e-02       -9.91889e-06     
  8.69696e-02       -9.28024e-06     
  8.73037e-02       -7.94692e-06     
  8.76378e-02       -5.97233e-06     
  8.79719e-02       -3.41909e-06     
  8.83060e-02       -3.57675e-07     
  8.86401e-02       3.13510e-06      
  8.89742e-02       6.97759e-06      
  8.93084e-02       1.10849e-05      
  8.96425e-02       1.53704e-05      
  8.99766e-02       1.97475e-05      
  9.03107e-02       2.41309e-05      
  9.06448e-02       2.84381e-05      
  9.09789e-02       3.25911e-05      
  9.13130e-02       3.65170e-05      
  9.16472e-02       4.01496e-05      
  9.19813e-02       4.34303e-05      
  9.23154e-02       4.63087e-05      
  9.26495e-02       4.87432e-05      
  9.29836e-02       5.07019e-05      
  9.33177e-02       5.21622e-05      
  9.36518e-02       5.31114e-05      
  9.39860e-02       5.35466e-05      
  9.43201e-02       5.34742e-05      
  9.46542e-02       5.29094e-05      
  9.49883e-02       5.18763e-05      
  9.53224e-02       5.04064e-05      
  9.56565e-02       4.85384e-05      
  9.59906e-02       4.63169e-05      
  9.63247e-02       4.37918e-05      
  9.66589e-02       4.10169e-05      
  9.69930e-02       3.80489e-05      
  9.73271e-02       3.49465e-05      
  9.76612e-02       3.17690e-05      
  9.79953e-02       2.85755e-05      
  9.83294e-02       2.54235e-05      
  9.86635e-02       2.23681e-05      
  9.89977e-02       1.94613e-05      
  9.93318e-02       1.67504e-05      
  9.96659e-02       1.42783e-05      
  1.00000e-01       1.20819e-05      
