# q                 I(q)             
  1.00000e-04       9.99920e-01      
  4.34114e-04       9.98502e-01      
  7.68227e-04       9.95316e-01      
  1.10234e-03       9.90375e-01      
  1.43645e-03       9.83704e-01      
  1.77057e-03       9.75331e-01      
  2.10468e-03       9.65296e-01      
  2.43880e-03       9.53642e-01      
  2.77291e-03       9.40423e-01      
  3.10702e-03       9.25698e-01      
  3.44114e-03       9.09531e-01      
  3.77525e-03       8.91995e-01      
  4.10936e-03       8.73166e-01      
  4.44348e-03       8.53125e-01      
  4.77759e-03       8.31959e-01      
  5.11171e-03       8.09759e-01      
  5.44582e-03       7.86617e-01      
  5.77993e-03       7.62630e-01      
  6.11405e-03       7.37896e-01      
  6.44816e-03       7.12516e-01      
  6.78227e-03       6.86590e-01      
  7.11639e-03       6.60221e-01      
  7.45050e-03       6.33508e-01      
  7.78462e-03       6.06554e-01      
  8.11873e-03       5.79456e-01      
  8.45284e-03       5.52313e-01      
  8.78696e-03       5.25220e-01      
  9.12107e-03       4.98268e-01      
  9.45518e-03       4.71546e-01      
  9.78930e-03       4.45140e-01      
  1.01234e-02       4.19129e-01      
  1.04575e-02       3.93590e-01      
  1.07916e-02       3.68595e-01      
  1.11258e-02       3.44210e-01      
  1.14599e-02       3.20495e-01      
  1.17940e-02       2.97505e-01      
  1.21281e-02       2.75291e-01      
  1.24622e-02       2.53895e-01      
  1.27963e-02       2.33356e-01      
  1.31304e-02       2.13705e-01      
  1.34645e-02       1.94968e-01      
  1.37987e-02       1.77166e-01      
  1.41328e-02       1.60311e-01      
  1.44669e-02       1.44414e-01      
  1.48010e-02       1.29477e-01      
  1.51351e-02       1.15498e-01      
  1.54692e-02       1.02471e-01      
  1.58033e-02       9.03829e-02      
  1.61375e-02       7.92183e-02      
  1.64716e-02       6.89566e-02      
  1.68057e-02       5.95738e-02      
  1.71398e-02       5.10422e-02      
  1.74739e-02       4.33311e-02      
  1.78080e-02       3.64071e-02      
  1.81421e-02       3.02342e-02      
  1.84763e-02       2.47746e-02      
  1.88104e-02       1.99888e-02      
  1.91445e-02       1.58359e-02      
  1.94786e-02       1.22742e-02      
  1.98127e-02       9.26147e-03      
  2.01468e-02       6.75505e-03      
  2.04809e-02       4.71249e-03      
  2.08151e-02       3.09170e-03      
  2.11492e-02       1.85125e-03      
  2.14833e-02       9.50635e-04      
  2.18174e-02       3.50543e-04      
  2.21515e-02       1.30464e-05      
  2.24856e-02       -9.81820e-05     
  2.28197e-02       -1.77026e-05     
  2.31538e-02       2.21841e-04      
  2.34880e-02       5.89845e-04      
  2.38221e-02       1.05785e-03      
  2.41562e-02       1.59959e-03      
  2.44903e-02       2.19109e-03      
  2.48244e-02       2.81065e-03      
  2.51585e-02       3.43888e-03      
  2.54926e-02       4.05864e-03      
  2.58268e-02       4.65507e-03      
  2.61609e-02       5.21549e-03      
  2.64950e-02       5.72932e-03      
  2.68291e-02       6.18804e-03      
  2.71632e-02       6.58505e-03      
  2.74973e-02       6.91557e-03      
  2.78314e-02       7.17652e-03      
  2.81656e-02       7.36640e-03      
  2.84997e-02       7.48514e-03      
  2.88338e-02       7.53393e-03      
  2.91679e-02       7.51516e-03      
  2.95020e-02       7.43218e-03      
  2.98361e-02       7.28921e-03      
  3.01702e-02       7.09118e-03      
  3.05043e-02       6.84359e-03      
  3.08385e-02       6.55239e-03      
  3.11726e-02       6.22382e-03      
  3.15067e-02       5.86431e-03      
  3.18408e-02       5.48035e-03      
  3.21749e-02       5.07839e-03      
  3.25090e-02       4.66477e-03      
  3.28431e-02       4.24557e-03      
  3.31773e-02       3.82659e-03      
  3.35114e-02       3.41324e-03      
  3.38455e-02       3.01052e-03      
  3.41796e-02       2.62295e-03      
  3.45137e-02       2.25454e-03      
  3.48478e-02       1.90875e-03      
  3.51819e-02       1.58852e-03      
  3.55161e-02       1.29619e-03      
  3.58502e-02       1.03356e-03      
  3.61843e-02       8.01894e-04      
  3.65184e-02       6.01894e-04      
  3.68525e-02       4.33769e-04      
  3.71866e-02       2.97247e-04      
  3.75207e-02       1.91607e-04      
  3.78548e-02       1.15724e-04      
  3.81890e-02       6.81086e-05      
  3.85231e-02       4.69503e-05      
  3.88572e-02       5.01685e-05      
  3.91913e-02       7.54575e-05      
  3.95254e-02       1.20336e-04      
  3.98595e-02       1.82195e-04      
  4.01936e-02       2.58345e-04      
  4.05278e-02       3.46060e-04      
  4.08619e-02       4.42621e-04      
  4.11960e-02       5.45359e-04      
  4.15301e-02       6.51687e-04      
  4.18642e-02       7.59142e-04      
  4.21983e-02       8.65404e-04      
  4.25324e-02       9.68332e-04      
  4.28666e-02       1.06598e-03      
  4.32007e-02       1.15662e-03      
  4.35348e-02       1.23875e-03      
  4.38689e-02       1.31111e-03      
  4.42030e-02       1.37267e-03      
  4.45371e-02       1.42265e-03      
  4.48712e-02       1.46053e-03      
  4.52054e-02       1.48599e-03      
  4.55395e-02       1.49897e-03      
  4.58736e-02       1.49961e-03      
  4.62077e-02       1.48825e-03      
  4.65418e-02       1.46540e-03      
  4.68759e-02       1.43175e-03      
  4.72100e-02       1.38815e-03      
  4.75441e-02       1.33552e-03      
  4.78783e-02       1.27494e-03      
  4.82124e-02       1.20753e-03      
  4.85465e-02       1.13447e-03      
  4.88806e-02       1.05698e-03      
  4.92147e-02       9.76309e-04      
  4.95488e-02       8.93666e-04      
  4.98829e-02       8.10251e-04      
  5.02171e-02       7.27217e-04      
  5.05512e-02       6.45656e-04      
  5.08853e-02       5.66582e-04      
  5.12194e-02       4.90925e-04      
  5.15535e-02       4.19516e-04      
  5.18876e-02       3.53077e-04      
  5.22217e-02       2.92222e-04      
  5.25559e-02       2.37445e-04      
  5.28900e-02       1.89124e-04      
  5.32241e-02       1.47517e-04      
  5.35582e-02       1.12766e-04      
  5.38923e-02       8.48990e-05      
  5.42264e-02       6.38360e-05      
  5.45605e-02       4.93960e-05      
  5.48946e-02       4.13041e-05      
  5.52288e-02       3.92010e-05      
  5.55629e-02       4.26525e-05      
  5.58970e-02       5.11606e-05      
  5.62311e-02       6.41741e-05      
  5.65652e-02       8.11001e-05      
  5.68993e-02       1.01316e-04      
  5.72334e-02       1.24180e-04      
  5.75676e-02       1.49043e-04      
  5.79017e-02       1.75261e-04      
